2022-05-18 11:05:82 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:783 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:862 INFO  Homepage :31 - enter on username[[ChromeDriver: chrome on WINDOWS (fae3b4717548ccdf113d1936d561f69d)] -> id: user-name]
2022-05-18 11:05:62 INFO  Homepage :35 - enter on password[[ChromeDriver: chrome on WINDOWS (fae3b4717548ccdf113d1936d561f69d)] -> id: password]
2022-05-18 11:05:208 INFO  Homepage :39 - click on login button[[ChromeDriver: chrome on WINDOWS (fae3b4717548ccdf113d1936d561f69d)] -> id: login-button]
2022-05-18 11:05:728 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:30 INFO  Homepage :31 - enter on username[[ChromeDriver: chrome on WINDOWS (3105a818ce1227357334a33a1fc42989)] -> id: user-name]
2022-05-18 11:05:197 INFO  Homepage :35 - enter on password[[ChromeDriver: chrome on WINDOWS (3105a818ce1227357334a33a1fc42989)] -> id: password]
2022-05-18 11:05:329 INFO  Homepage :39 - click on login button[[ChromeDriver: chrome on WINDOWS (3105a818ce1227357334a33a1fc42989)] -> id: login-button]
2022-05-18 11:05:738 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:110 INFO  Homepage :31 - enter on username[[ChromeDriver: chrome on WINDOWS (b077ee5ef33e9a6aaa36920e53268146)] -> id: user-name]
2022-05-18 11:05:279 INFO  Homepage :35 - enter on password[[ChromeDriver: chrome on WINDOWS (b077ee5ef33e9a6aaa36920e53268146)] -> id: password]
2022-05-18 11:05:405 INFO  Homepage :39 - click on login button[[ChromeDriver: chrome on WINDOWS (b077ee5ef33e9a6aaa36920e53268146)] -> id: login-button]
2022-05-18 11:05:873 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 11:05:72 INFO  Homepage :31 - enter on username[[ChromeDriver: chrome on WINDOWS (dca8f8847b70183d43b4fd4e432f8055)] -> id: user-name]
2022-05-18 11:05:245 INFO  Homepage :35 - enter on password[[ChromeDriver: chrome on WINDOWS (dca8f8847b70183d43b4fd4e432f8055)] -> id: password]
2022-05-18 11:05:410 INFO  Homepage :39 - click on login button[[ChromeDriver: chrome on WINDOWS (dca8f8847b70183d43b4fd4e432f8055)] -> id: login-button]
2022-05-18 12:05:472 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 12:05:453 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (d1229eadb3272b8b8c8d37dab50aa338)] -> id: user-name]
2022-05-18 12:05:543 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (d1229eadb3272b8b8c8d37dab50aa338)] -> id: password]
2022-05-18 12:05:627 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (d1229eadb3272b8b8c8d37dab50aa338)] -> id: login-button]
2022-05-18 13:05:382 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:656 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (597f154c68d45ab03d42534296d4009b)] -> id: user-name]
2022-05-18 13:05:806 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (597f154c68d45ab03d42534296d4009b)] -> id: password]
2022-05-18 13:05:986 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (597f154c68d45ab03d42534296d4009b)] -> id: login-button]
2022-05-18 21:05:55 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 21:05:770 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (7684e7c4be1d68163a5ed26e9eb62f07)] -> id: user-name]
2022-05-18 21:05:18 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (7684e7c4be1d68163a5ed26e9eb62f07)] -> id: password]
2022-05-18 21:05:250 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (7684e7c4be1d68163a5ed26e9eb62f07)] -> id: login-button]
2022-05-18 21:05:12 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 21:05:556 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (ef3f57a6657bfcc752cdbab6ffb6afe9)] -> id: user-name]
2022-05-18 21:05:748 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (ef3f57a6657bfcc752cdbab6ffb6afe9)] -> id: password]
2022-05-18 21:05:896 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (ef3f57a6657bfcc752cdbab6ffb6afe9)] -> id: login-button]
2022-05-18 21:05:164 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 21:05:858 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (e85ef5bd05d35e4c8d59344673364b71)] -> id: user-name]
2022-05-18 21:05:126 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (e85ef5bd05d35e4c8d59344673364b71)] -> id: password]
2022-05-18 21:05:568 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (e85ef5bd05d35e4c8d59344673364b71)] -> id: login-button]
2022-05-18 21:05:64 INFO  ProductPage :43 - click on pro filter[[ChromeDriver: chrome on WINDOWS (e85ef5bd05d35e4c8d59344673364b71)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[2]/div[2]/span[1]/select[1]]
2022-05-19 11:05:798 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 11:05:15 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (f876faf84af3104976cbc4b4f0671922)] -> id: user-name]
2022-05-19 11:05:108 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (f876faf84af3104976cbc4b4f0671922)] -> id: password]
2022-05-19 11:05:265 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (f876faf84af3104976cbc4b4f0671922)] -> id: login-button]
2022-05-19 11:05:385 INFO  ProductPage :43 - click on pro filter[[ChromeDriver: chrome on WINDOWS (f876faf84af3104976cbc4b4f0671922)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[2]/div[2]/span[1]/select[1]]
2022-05-19 11:05:556 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 11:05:938 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (778a8ea218d7dd076f10d075d866a016)] -> id: user-name]
2022-05-19 11:05:26 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (778a8ea218d7dd076f10d075d866a016)] -> id: password]
2022-05-19 11:05:218 INFO  Homepage :40 - click on login button[[ChromeDriver: chrome on WINDOWS (778a8ea218d7dd076f10d075d866a016)] -> id: login-button]
2022-05-19 11:05:363 INFO  ProductPage :43 - click on pro filter[[ChromeDriver: chrome on WINDOWS (778a8ea218d7dd076f10d075d866a016)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[2]/div[2]/span[1]/select[1]]
2022-05-19 17:05:707 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 17:05:265 INFO  Homepage :32 - enter on username[[ChromeDriver: chrome on WINDOWS (24020d4f3ad9530276bb405c3f8efc2c)] -> id: user-name]
2022-05-19 17:05:486 INFO  Homepage :36 - enter on password[[ChromeDriver: chrome on WINDOWS (24020d4f3ad9530276bb405c3f8efc2c)] -> id: password]
